utc,path,state,cap,base_ns,base_count,seen,last_done,last_bytes,probe_loss_samples,consecutive_loss
2026-08-30T11:07:55Z,lte1,,,,,,,,,
2026-08-30T11:07:55Z,lte2,,,,,,,,,
2026-08-30T11:07:57Z,lte1,,,,,,,,,
2026-08-30T11:07:57Z,lte2,,,,,,,,,
2026-08-30T11:07:59Z,lte1,,,,,,,,,
2026-08-30T11:07:59Z,lte2,,,,,,,,,
2026-08-30T11:08:01Z,lte1,,,,,,,,,
2026-08-30T11:08:01Z,lte2,,,,,,,,,
2026-08-30T11:08:03Z,lte1,,,,,,,,,
2026-08-30T11:08:03Z,lte2,,,,,,,,,
2026-08-30T11:08:05Z,lte1,,,,,,,,,
2026-08-30T11:08:05Z,lte2,,,,,,,,,
2026-08-30T11:08:07Z,lte1,,,,,,,,,
2026-08-30T11:08:07Z,lte2,,,,,,,,,
2026-08-30T11:08:10Z,lte1,,,,,,,,,
2026-08-30T11:08:10Z,lte2,,,,,,,,,
2026-08-30T11:08:12Z,lte1,,,,,,,,,
2026-08-30T11:08:12Z,lte2,,,,,,,,,
2026-08-30T11:08:14Z,lte1,,,,,,,,,
2026-08-30T11:08:14Z,lte2,,,,,,,,,
2026-08-30T11:08:16Z,lte1,,,,,,,,,
2026-08-30T11:08:16Z,lte2,,,,,,,,,
2026-08-30T11:08:18Z,lte1,,,,,,,,,
2026-08-30T11:08:18Z,lte2,,,,,,,,,
2026-08-30T11:08:20Z,lte1,,,,,,,,,
2026-08-30T11:08:20Z,lte2,,,,,,,,,
2026-08-30T11:08:22Z,lte1,,,,,,,,,
2026-08-30T11:08:22Z,lte2,,,,,,,,,
2026-08-30T11:08:24Z,lte1,,,,,,,,,
2026-08-30T11:08:24Z,lte2,,,,,,,,,
2026-08-30T11:08:26Z,lte1,,,,,,,,,
2026-08-30T11:08:26Z,lte2,,,,,,,,,
2026-08-30T11:08:28Z,lte1,,,,,,,,,
2026-08-30T11:08:28Z,lte2,,,,,,,,,
2026-08-30T11:08:31Z,lte1,,,,,,,,,
2026-08-30T11:08:31Z,lte2,,,,,,,,,
2026-08-30T11:08:33Z,lte1,,,,,,,,,
2026-08-30T11:08:33Z,lte2,,,,,,,,,
2026-08-30T11:08:35Z,lte1,,,,,,,,,
2026-08-30T11:08:35Z,lte2,,,,,,,,,
2026-08-30T11:08:37Z,lte1,,,,,,,,,
2026-08-30T11:08:37Z,lte2,,,,,,,,,
2026-08-30T11:08:39Z,lte1,,,,,,,,,
2026-08-30T11:08:39Z,lte2,,,,,,,,,
2026-08-30T11:08:41Z,lte1,,,,,,,,,
2026-08-30T11:08:41Z,lte2,,,,,,,,,
2026-08-30T11:08:43Z,lte1,,,,,,,,,
2026-08-30T11:08:43Z,lte2,,,,,,,,,
2026-08-30T11:08:45Z,lte1,,,,,,,,,
2026-08-30T11:08:45Z,lte2,,,,,,,,,
2026-08-30T11:08:47Z,lte1,,,,,,,,,
2026-08-30T11:08:47Z,lte2,,,,,,,,,
2026-08-30T11:08:49Z,lte1,,,,,,,,,
2026-08-30T11:08:49Z,lte2,,,,,,,,,
2026-08-30T11:08:52Z,lte1,,,,,,,,,
2026-08-30T11:08:52Z,lte2,,,,,,,,,
2026-08-30T11:08:54Z,lte1,,,,,,,,,
2026-08-30T11:08:54Z,lte2,,,,,,,,,
2026-08-30T11:08:58Z,lte1,,,,,,,,,
2026-08-30T11:08:58Z,lte2,,,,,,,,,
2026-08-30T11:09:00Z,lte1,,,,,,,,,
2026-08-30T11:09:00Z,lte2,,,,,,,,,
2026-08-30T11:09:02Z,lte1,,,,,,,,,
2026-08-30T11:09:02Z,lte2,,,,,,,,,
2026-08-30T11:09:04Z,lte1,,,,,,,,,
2026-08-30T11:09:04Z,lte2,,,,,,,,,
2026-08-30T11:09:06Z,lte1,,,,,,,,,
2026-08-30T11:09:06Z,lte2,,,,,,,,,
2026-08-30T11:09:08Z,lte1,,,,,,,,,
2026-08-30T11:09:08Z,lte2,,,,,,,,,
2026-08-30T11:09:11Z,lte1,,,,,,,,,
2026-08-30T11:09:11Z,lte2,,,,,,,,,
2026-08-30T11:09:13Z,lte1,,,,,,,,,
2026-08-30T11:09:13Z,lte2,,,,,,,,,
2026-08-30T11:09:15Z,lte1,,,,,,,,,
2026-08-30T11:09:15Z,lte2,,,,,,,,,
2026-08-30T11:09:17Z,lte1,,,,,,,,,
2026-08-30T11:09:17Z,lte2,,,,,,,,,
2026-08-30T11:09:19Z,lte1,,,,,,,,,
2026-08-30T11:09:19Z,lte2,,,,,,,,,
2026-08-30T11:09:21Z,lte1,,,,,,,,,
2026-08-30T11:09:21Z,lte2,,,,,,,,,
2026-08-30T11:09:24Z,lte1,,,,,,,,,
2026-08-30T11:09:24Z,lte2,,,,,,,,,
2026-08-30T11:09:26Z,lte1,,,,,,,,,
2026-08-30T11:09:26Z,lte2,,,,,,,,,
2026-08-30T11:09:28Z,lte1,,,,,,,,,
2026-08-30T11:09:28Z,lte2,,,,,,,,,
2026-08-30T11:09:30Z,lte1,,,,,,,,,
2026-08-30T11:09:30Z,lte2,,,,,,,,,
2026-08-30T11:09:32Z,lte1,,,,,,,,,
2026-08-30T11:09:32Z,lte2,,,,,,,,,
2026-08-30T11:09:34Z,lte1,,,,,,,,,
2026-08-30T11:09:34Z,lte2,,,,,,,,,
2026-08-30T11:09:36Z,lte1,,,,,,,,,
2026-08-30T11:09:36Z,lte2,,,,,,,,,
2026-08-30T11:09:39Z,lte1,,,,,,,,,
2026-08-30T11:09:39Z,lte2,,,,,,,,,
2026-08-30T11:09:41Z,lte1,,,,,,,,,
2026-08-30T11:09:41Z,lte2,,,,,,,,,
2026-08-30T11:09:43Z,lte1,,,,,,,,,
2026-08-30T11:09:43Z,lte2,,,,,,,,,
2026-08-30T11:09:45Z,lte1,,,,,,,,,
2026-08-30T11:09:45Z,lte2,,,,,,,,,
2026-08-30T11:09:47Z,lte1,,,,,,,,,
2026-08-30T11:09:47Z,lte2,,,,,,,,,
2026-08-30T11:09:49Z,lte1,,,,,,,,,
2026-08-30T11:09:49Z,lte2,,,,,,,,,
2026-08-30T11:09:52Z,lte1,,,,,,,,,
2026-08-30T11:09:52Z,lte2,,,,,,,,,
2026-08-30T11:09:54Z,lte1,,,,,,,,,
2026-08-30T11:09:54Z,lte2,,,,,,,,,
2026-08-30T11:09:56Z,lte1,,,,,,,,,
2026-08-30T11:09:56Z,lte2,,,,,,,,,
2026-08-30T11:09:58Z,lte1,,,,,,,,,
2026-08-30T11:09:58Z,lte2,,,,,,,,,
2026-08-30T11:10:00Z,lte1,,,,,,,,,
2026-08-30T11:10:00Z,lte2,,,,,,,,,
2026-08-30T11:10:02Z,lte1,,,,,,,,,
2026-08-30T11:10:02Z,lte2,,,,,,,,,
2026-08-30T11:10:05Z,lte1,,,,,,,,,
2026-08-30T11:10:05Z,lte2,,,,,,,,,
2026-08-30T11:10:07Z,lte1,,,,,,,,,
2026-08-30T11:10:07Z,lte2,,,,,,,,,
2026-08-30T11:10:09Z,lte1,,,,,,,,,
2026-08-30T11:10:09Z,lte2,,,,,,,,,
2026-08-30T11:10:11Z,lte1,,,,,,,,,
2026-08-30T11:10:11Z,lte2,,,,,,,,,
2026-08-30T11:10:13Z,lte1,,,,,,,,,
2026-08-30T11:10:13Z,lte2,,,,,,,,,
2026-08-30T11:10:15Z,lte1,,,,,,,,,
2026-08-30T11:10:15Z,lte2,,,,,,,,,
2026-08-30T11:10:17Z,lte1,,,,,,,,,
2026-08-30T11:10:17Z,lte2,,,,,,,,,
2026-08-30T11:10:20Z,lte1,,,,,,,,,
2026-08-30T11:10:20Z,lte2,,,,,,,,,
2026-08-30T11:10:22Z,lte1,,,,,,,,,
2026-08-30T11:10:22Z,lte2,,,,,,,,,
2026-08-30T11:10:24Z,lte1,,,,,,,,,
2026-08-30T11:10:24Z,lte2,,,,,,,,,
2026-08-30T11:10:26Z,lte1,,,,,,,,,
2026-08-30T11:10:26Z,lte2,,,,,,,,,
2026-08-30T11:10:28Z,lte1,,,,,,,,,
2026-08-30T11:10:28Z,lte2,,,,,,,,,
2026-08-30T11:10:30Z,lte1,,,,,,,,,
2026-08-30T11:10:30Z,lte2,,,,,,,,,
2026-08-30T11:10:32Z,lte1,,,,,,,,,
2026-08-30T11:10:32Z,lte2,,,,,,,,,
2026-08-30T11:10:35Z,lte1,,,,,,,,,
2026-08-30T11:10:35Z,lte2,,,,,,,,,
2026-08-30T11:10:37Z,lte1,,,,,,,,,
2026-08-30T11:10:37Z,lte2,,,,,,,,,
2026-08-30T11:10:39Z,lte1,,,,,,,,,
2026-08-30T11:10:39Z,lte2,,,,,,,,,
2026-08-30T11:10:41Z,lte1,,,,,,,,,
2026-08-30T11:10:41Z,lte2,,,,,,,,,
2026-08-30T11:10:43Z,lte1,,,,,,,,,
2026-08-30T11:10:43Z,lte2,,,,,,,,,
2026-08-30T11:10:45Z,lte1,,,,,,,,,
2026-08-30T11:10:45Z,lte2,,,,,,,,,
2026-08-30T11:10:48Z,lte1,,,,,,,,,
2026-08-30T11:10:48Z,lte2,,,,,,,,,
2026-08-30T11:10:50Z,lte1,,,,,,,,,
2026-08-30T11:10:50Z,lte2,,,,,,,,,
2026-08-30T11:10:52Z,lte1,,,,,,,,,
2026-08-30T11:10:52Z,lte2,,,,,,,,,
2026-08-30T11:10:54Z,lte1,,,,,,,,,
2026-08-30T11:10:54Z,lte2,,,,,,,,,
2026-08-30T11:10:56Z,lte1,,,,,,,,,
2026-08-30T11:10:56Z,lte2,,,,,,,,,
2026-08-30T11:10:58Z,lte1,,,,,,,,,
2026-08-30T11:10:58Z,lte2,,,,,,,,,
2026-08-30T11:11:01Z,lte1,,,,,,,,,
2026-08-30T11:11:01Z,lte2,,,,,,,,,
2026-08-30T11:11:03Z,lte1,,,,,,,,,
2026-08-30T11:11:03Z,lte2,,,,,,,,,
2026-08-30T11:11:05Z,lte1,,,,,,,,,
2026-08-30T11:11:05Z,lte2,,,,,,,,,
2026-08-30T11:11:07Z,lte1,,,,,,,,,
2026-08-30T11:11:07Z,lte2,,,,,,,,,
2026-08-30T11:11:09Z,lte1,,,,,,,,,
2026-08-30T11:11:09Z,lte2,,,,,,,,,
2026-08-30T11:11:11Z,lte1,,,,,,,,,
2026-08-30T11:11:11Z,lte2,,,,,,,,,
2026-08-30T11:11:14Z,lte1,,,,,,,,,
2026-08-30T11:11:14Z,lte2,,,,,,,,,
2026-08-30T11:11:16Z,lte1,,,,,,,,,
2026-08-30T11:11:16Z,lte2,,,,,,,,,
2026-08-30T11:11:18Z,lte1,,,,,,,,,
2026-08-30T11:11:18Z,lte2,,,,,,,,,
2026-08-30T11:11:20Z,lte1,,,,,,,,,
2026-08-30T11:11:20Z,lte2,,,,,,,,,
2026-08-30T11:11:22Z,lte1,,,,,,,,,
2026-08-30T11:11:22Z,lte2,,,,,,,,,
2026-08-30T11:11:24Z,lte1,,,,,,,,,
2026-08-30T11:11:24Z,lte2,,,,,,,,,
2026-08-30T11:11:27Z,lte1,,,,,,,,,
2026-08-30T11:11:27Z,lte2,,,,,,,,,
2026-08-30T11:11:29Z,lte1,,,,,,,,,
2026-08-30T11:11:29Z,lte2,,,,,,,,,
2026-08-30T11:11:31Z,lte1,,,,,,,,,
2026-08-30T11:11:31Z,lte2,,,,,,,,,
2026-08-30T11:11:33Z,lte1,,,,,,,,,
2026-08-30T11:11:33Z,lte2,,,,,,,,,
2026-08-30T11:11:35Z,lte1,,,,,,,,,
2026-08-30T11:11:35Z,lte2,,,,,,,,,
2026-08-30T11:11:37Z,lte1,,,,,,,,,
2026-08-30T11:11:37Z,lte2,,,,,,,,,
2026-08-30T11:11:39Z,lte1,,,,,,,,,
2026-08-30T11:11:39Z,lte2,,,,,,,,,
2026-08-30T11:11:42Z,lte1,,,,,,,,,
