utc,lte1_max_limit,lte2_max_limit,lte1_bytes,lte2_bytes,cpu_load_pct
2026-08-30T11:12:10Z,,,0,0,24
2026-08-30T11:12:12Z,,,0,0,5
2026-08-30T11:12:14Z,,,0,0,2
2026-08-30T11:12:16Z,,,0,0,4
2026-08-30T11:12:18Z,,,0,0,7
2026-08-30T11:12:21Z,,,0,0,10
2026-08-30T11:12:23Z,,,0,0,13
2026-08-30T11:12:25Z,,,0,0,14
2026-08-30T11:12:27Z,,,0,0,17
2026-08-30T11:12:29Z,,,0,0,8
2026-08-30T11:12:31Z,,,0,0,9
2026-08-30T11:12:33Z,,,0,0,5
2026-08-30T11:12:35Z,,,0,0,3
2026-08-30T11:12:37Z,,,0,0,3
2026-08-30T11:12:39Z,,,0,0,8
2026-08-30T11:12:41Z,,,0,0,8
2026-08-30T11:12:44Z,,,0,0,12
2026-08-30T11:12:46Z,,,0,0,13
2026-08-30T11:12:48Z,,,0,0,16
2026-08-30T11:12:50Z,,,0,0,8
2026-08-30T11:12:52Z,,,0,0,9
2026-08-30T11:12:54Z,,,0,0,5
2026-08-30T11:12:56Z,,,0,0,5
2026-08-30T11:12:58Z,,,0,0,3
2026-08-30T11:13:00Z,,,0,0,4
2026-08-30T11:13:02Z,,,0,0,17
2026-08-30T11:13:05Z,,,0,0,8
2026-08-30T11:13:07Z,,,0,0,10
2026-08-30T11:13:09Z,,,0,0,13
2026-08-30T11:13:12Z,,,0,0,25
2026-08-30T11:13:14Z,,,0,0,16
2026-08-30T11:13:16Z,,,0,3726,14
2026-08-30T11:13:19Z,,,0,3726,14
2026-08-30T11:13:21Z,,,0,2484,14
2026-08-30T11:13:23Z,,,0,2484,19
2026-08-30T11:13:25Z,,,0,2484,9
2026-08-30T11:13:27Z,,,0,2484,8
2026-08-30T11:13:30Z,,,0,3726,4
2026-08-30T11:13:32Z,,,0,3726,9
2026-08-30T11:13:34Z,,,0,3726,14
2026-08-30T11:13:36Z,,,0,3726,16
2026-08-30T11:13:38Z,,,0,2484,19
2026-08-30T11:13:40Z,,,0,3726,9
2026-08-30T11:13:43Z,,,0,3726,5
2026-08-30T11:13:45Z,,,0,2484,6
2026-08-30T11:13:47Z,,,0,3726,15
2026-08-30T11:13:49Z,,,0,3726,25
2026-08-30T11:13:51Z,,,0,2484,12
2026-08-30T11:13:54Z,,,0,2484,8
2026-08-30T11:13:56Z,,,0,3726,6
2026-08-30T11:13:58Z,,,0,3726,15
2026-08-30T11:14:00Z,,,0,3726,20
2026-08-30T11:14:03Z,,,0,3726,10
2026-08-30T11:14:05Z,,,0,2484,10
2026-08-30T11:14:07Z,,,0,3726,20
2026-08-30T11:14:09Z,,,0,2484,11
2026-08-30T11:14:12Z,,,0,2484,9
2026-08-30T11:14:14Z,,,0,3726,6
2026-08-30T11:14:16Z,,,0,3726,15
2026-08-30T11:14:19Z,,,0,3726,26
2026-08-30T11:14:21Z,,,0,3726,10
2026-08-30T11:14:23Z,,,0,3726,4
2026-08-30T11:14:25Z,,,0,2484,24
2026-08-30T11:14:28Z,,,0,3726,20
2026-08-30T11:14:30Z,,,0,3726,8
2026-08-30T11:14:32Z,,,0,3726,7
2026-08-30T11:14:35Z,,,0,3726,10
2026-08-30T11:14:37Z,,,0,2484,14
2026-08-30T11:14:39Z,,,0,2484,9
2026-08-30T11:14:41Z,,,0,3726,6
2026-08-30T11:14:44Z,,,0,2484,8
2026-08-30T11:14:46Z,,,0,2484,16
2026-08-30T11:14:48Z,,,0,3726,21
2026-08-30T11:14:51Z,,,0,3726,8
2026-08-30T11:14:53Z,,,0,3726,20
2026-08-30T11:14:55Z,,,0,3726,11
2026-08-30T11:14:58Z,,,0,2484,5
2026-08-30T11:15:00Z,,,0,4968,13
2026-08-30T11:15:02Z,,,0,3726,10
2026-08-30T11:15:05Z,,,0,2484,7
2026-08-30T11:15:07Z,,,0,2484,11
2026-08-30T11:15:09Z,,,0,3726,23
2026-08-30T11:15:12Z,,,0,3726,11
2026-08-30T11:15:14Z,,,0,2484,17
2026-08-30T11:15:16Z,,,0,2484,14
2026-08-30T11:15:19Z,,,0,2484,10
2026-08-30T11:15:21Z,,,0,3726,8
2026-08-30T11:15:23Z,,,0,2484,12
2026-08-30T11:15:26Z,,,0,3726,22
2026-08-30T11:15:28Z,,,0,2484,9
2026-08-30T11:15:30Z,,,0,2582,7
2026-08-30T11:15:33Z,,,0,2484,17
2026-08-30T11:15:35Z,,,0,3726,10
2026-08-30T11:15:37Z,,,0,3726,5
2026-08-30T11:15:40Z,,,0,3726,28
2026-08-30T11:15:42Z,,,0,2484,9
2026-08-30T11:15:45Z,,,0,2484,5
