epoch,icmp_seq,rtt_ms
1788088391.405003,1,23.5
1788088391.905811,2,23.1
1788088392.409672,3,26.3
1788088392.904494,4,20.2
1788088393.414561,5,29.5
1788088393.914622,6,28.5
1788088394.415579,7,28.4
1788088394.921586,8,33.4
1788088395.429468,9,40.3
1788088396.424375,11,29.5
1788088396.910299,12,14.4
1788088397.424397,13,27.5
1788088397.941364,14,43.4
1788088398.424403,15,25.5
1788088398.940621,16,40.6
1788088399.424371,17,23.2
1788088399.925284,18,23.3
1788088400.424222,19,21.4
1788088400.92416,20,20.4
1788088401.434173,21,29.5
1788088401.924207,22,18.5
1788088402.434222,23,27.4
1788088402.942336,24,34.6
1788088403.43434,25,25.5
1788088403.934418,26,24.5
1788088404.434139,27,23.2
1788088404.937119,28,25.4
1788088405.434151,29,21.5
1788088405.935064,30,21.3
1788088406.451957,31,37.3
1788088406.934201,32,18.7
1788088407.444151,33,27.4
1788088407.944096,34,26.4
1788088408.443939,35,25.3
1788088408.934121,36,14.8
1788088409.444054,37,23.4
1788088409.943806,38,22.2
1788088410.445781,39,23.5
1788088410.945812,40,22.5
1788088411.453788,41,29.4
1788088411.944085,42,18.7
1788088412.453862,43,27.2
1788088412.944007,44,16.6
1788088413.453922,45,25.3
1788088413.946784,46,17.3
1788088414.453772,47,23.4
1788088414.946617,48,15.3
1788088415.45377,49,22.0
1788088415.953629,50,21.3
1788088416.45474,51,21.9
1788088416.95652,52,22.2
1788088417.463534,53,28.7
1788088417.956477,54,20.4
1788088418.492693,55,55.9
1788088418.964589,56,26.3
1788088419.463656,57,24.5
1788088419.958412,58,18.6
1788088420.464613,59,23.6
1788088420.963242,60,21.3
1788088421.463335,61,20.5
1788088421.966337,62,22.5
1788088422.473497,63,28.6
1788088423.018766,64,72.7
1788088423.47346,65,26.2
1788088423.966167,66,18.3
1788088424.473342,67,24.6
1788088424.966318,68,16.4
1788088425.473348,69,22.5
1788088425.966378,70,14.5
1788088426.47326,71,20.3
1788088426.980421,72,26.6
1788088427.483521,73,28.6
1788088427.979139,74,23.3
1788088428.484336,75,27.7
1788088428.976317,76,18.4
1788088429.483303,77,24.4
1788088429.980453,78,20.6
1788088430.48312,79,22.1
1788088430.976046,80,14.4
1788088431.484184,81,21.6
1788088431.981029,82,17.3
1788088432.513055,83,48.5
1788088432.978987,84,13.4
1788088433.494303,85,27.7
1788088433.998029,86,30.1
1788088434.492977,87,24.4
1788088434.98598,88,16.4
1788088435.492852,89,22.3
1788088435.985996,90,14.6
1788088436.492898,91,20.3
1788088436.990745,92,17.3
1788088437.503933,93,29.6
1788088437.99078,94,15.3
1788088438.502738,95,26.4
1788088438.990776,96,13.5
1788088439.502864,97,24.5
1788088439.996847,98,17.4
1788088440.502811,99,22.4
1788088440.99979,100,18.4
1788088441.50272,101,20.3
1788088442.00057,102,17.3
1788088442.512593,103,28.8
1788088443.000582,104,15.8
1788088443.520568,105,34.8
1788088444.000515,106,13.7
1788088444.528605,107,40.8
1788088445.005603,108,16.8
1788088445.528837,109,39.1
1788088446.005544,110,15.3
1788088446.512473,111,21.3
1788088447.005562,112,13.7
1788088447.522627,113,29.8
1788088448.010403,114,16.6
1788088448.530402,115,35.6
1788088449.010345,116,14.5
1788088449.522572,117,25.7
1788088450.015277,118,17.3
1788088450.522456,119,23.6
1788088451.016322,120,16.3
1788088451.522381,121,21.5
1788088452.024381,122,22.4
1788088452.533301,123,30.5
1788088453.020216,124,16.4
1788088453.532198,125,27.4
1788088454.029429,126,23.7
1788088454.537168,127,30.4
1788088455.033332,128,25.6
1788088455.533341,129,24.4
1788088456.028302,130,18.4
1788088456.532278,131,21.4
1788088457.025147,132,13.3
1788088457.550242,133,37.5
1788088458.038067,134,24.2
1788088458.542253,135,27.6
1788088459.030273,136,14.4
1788088459.542023,137,25.2
1788088460.036247,138,18.6
1788088460.542013,139,23.2
1788088461.033143,140,13.5
1788088461.55909,141,38.3
1788088462.040015,142,18.4
1788088462.553042,143,30.4
1788088463.040418,144,16.8
1788088463.560071,145,35.1
1788088464.039782,146,14.1
1788088464.555978,147,29.7
1788088465.044948,148,17.4
1788088465.552997,149,24.5
1788088466.045893,150,16.3
1788088466.552009,151,21.5
1788088467.049974,152,18.4
1788088467.561826,153,29.3
1788088468.05883,154,25.4
1788088468.569691,155,35.3
1788088469.049608,156,14.8
1788088469.563816,157,27.6
1788088470.054712,158,17.3
1788088470.5617,159,23.4
1788088471.069494,160,30.2
1788088471.561551,161,21.5
1788088472.061589,162,20.8
1788088472.572788,163,31.0
1788088473.05964,164,17.2
1788088473.572656,165,29.4
1788088474.059643,166,15.4
1788088474.571778,167,26.6
1788088475.070515,168,24.2
1788088475.57167,169,24.6
1788088476.071397,170,23.6
1788088476.571617,171,22.8
1788088477.072745,172,22.9
1788088477.579416,173,29.1
1788088478.071393,174,20.6
1788088478.581451,175,29.5
1788088479.081463,176,28.5
1788088479.582441,177,28.4
1788088480.081423,178,26.4
1788088480.597606,179,41.8
1788088481.081689,180,24.9
1788088481.581322,181,23.1
1788088482.081219,182,22.3
1788088482.589346,183,29.6
1788088483.081169,184,20.3
1788088483.591343,185,29.6
1788088484.081517,186,18.7
1788088484.591193,187,27.1
1788088485.081146,188,16.4
1788088485.592243,189,26.5
1788088486.091441,190,24.6
1788088486.591198,191,23.2
1788088487.089267,192,20.5
1788088487.674114,193,104.0
1788088488.091083,194,20.5
1788088488.601259,195,29.6
1788088489.089082,196,16.3
1788088489.602185,197,28.5
1788088490.101188,198,26.4
1788088490.601091,199,25.3
1788088491.090812,200,14.1
1788088491.601026,201,23.6
1788088492.093854,202,15.3
1788088492.602133,203,22.7
1788088493.098932,204,18.2
1788088493.63703,205,55.5
1788088494.10177,206,19.2
1788088494.611968,207,28.6
1788088495.103875,208,19.4
1788088495.610918,209,25.5
1788088496.101727,210,15.3
1788088496.61082,211,23.5
1788088497.110779,212,22.4
1788088497.610837,213,21.5
1788088498.103607,214,13.2
1788088498.610697,215,19.9
1788088499.156083,216,63.8
1788088499.628735,217,35.1
1788088500.108603,218,14.3
1788088500.620817,219,25.6
1788088501.118603,220,22.3
1788088501.620771,221,23.6
1788088502.113503,222,15.2
1788088502.628853,223,29.8
1788088503.126727,224,26.3
1788088503.630517,225,29.2
1788088504.116502,226,14.7
1788088504.630536,227,27.7
1788088505.127437,228,23.6
1788088505.630461,229,25.6
1788088506.123508,230,17.7
1788088506.630534,231,23.7
1788088507.123404,232,15.3
1788088507.630582,233,21.6
1788088508.12341,234,13.6
1788088508.630366,235,19.6
1788088509.136519,236,24.6
1788088509.640396,237,27.3
1788088510.128344,238,14.4
1788088510.640299,239,25.4
1788088511.133464,240,17.6
1788088511.640345,241,23.5
1788088512.196566,242,78.6
1788088512.641214,243,23.1
1788088513.141358,244,22.6
1788088513.640357,245,20.4
1788088514.138246,246,17.3
1788088514.650289,247,28.5
1788088515.138203,248,15.4
1788088515.650212,249,26.4
1788088516.15736,250,32.6
1788088516.651316,251,25.4
1788088517.143135,252,16.2
1788088517.650191,253,22.5
1788088518.143125,254,14.4
1788088518.650273,255,20.6
1788088519.148275,256,17.4
1788088519.66015,257,28.3
1788088520.148203,258,15.5
1788088520.660355,259,26.6
1788088521.153045,260,18.1
1788088521.660129,261,24.5
1788088522.159904,262,23.2
1788088522.660358,263,22.9
1788088523.153121,264,14.2
1788088523.660078,265,20.4
