tag,path,duration_s,target_bitrate,actual_mbps,udp_loss_percent,udp_jitter_ms,ping_avg_ms,ping_p95_ms,ping_max_ms,ping_loss_percent,primary_bands_seen,ca_bands_seen,cell_changes,path_verification,test_dir
B_lte1_6M_r1,lte1,120,6M,1.9603210907421473,58.784,8.426916833607514,2627.215,5000.0,5102.956,66.5254,B38@20Mhz earfcn: 37900 phy-cellid: 3|B3@15Mhz earfcn: 1875 phy-cellid: 69,B38@20Mhz earfcn: 38098 phy-cellid: 3,1,PASS_CONCURRENT_OTHER_LTE,/home/madis/projects/ltap-lte-testbench/results-public/exp2b-stationary-20260814/runs/20260814-074216_B_lte1_6M_r1_lte1_udp_upload
B_lte1_6M_r2,lte1,120,6M,4.82099608508016,19.442666666666668,2.3631311860028053,104.3,129.0,152.746,35.8744,B38@20Mhz earfcn: 38098 phy-cellid: 3|B3@15Mhz earfcn: 1875 phy-cellid: 69,,1,PASS_CONCURRENT_OTHER_LTE,/home/madis/projects/ltap-lte-testbench/results-public/exp2b-stationary-20260814/runs/20260814-074519_B_lte1_6M_r2_lte1_udp_upload
B_lte1_6M_r3,lte1,120,6M,4.81506674788607,19.644,2.9857169284112484,89.947,137.0,344.534,66.8182,B1@15Mhz earfcn: 523 phy-cellid: 69|B7@20Mhz earfcn: 2850 phy-cellid: 69,,0,PASS_CONCURRENT_OTHER_LTE,/home/madis/projects/ltap-lte-testbench/results-public/exp2b-stationary-20260814/runs/20260814-074812_B_lte1_6M_r3_lte1_udp_upload
B_lte2_6M_r1,lte2,120,6M,4.823170468169209,19.388,2.4241916419430547,102.887,127.0,142.167,34.4776,B3@20Mhz earfcn: 1344 phy-cellid: 66,B7@20Mhz earfcn: 3050 phy-cellid: 156,0,PASS_CONCURRENT_OTHER_LTE,/home/madis/projects/ltap-lte-testbench/results-public/exp2b-stationary-20260814/runs/20260814-075106_B_lte2_6M_r1_lte2_udp_upload
B_lte2_6M_r2,lte2,120,6M,,,,24.828,29.6,46.518,0.0,B3@20Mhz earfcn: 1344 phy-cellid: 66,B7@20Mhz earfcn: 3050 phy-cellid: 156,0,FAIL_WRONG_LTE,/home/madis/projects/ltap-lte-testbench/results-public/exp2b-stationary-20260814/runs/20260814-075400_B_lte2_6M_r2_lte2_udp_upload
B_lte2_6M_r2_retry1,lte2,120,6M,4.8323682546266475,19.354666666666667,2.342063455534835,54.011,122.0,123.765,82.3171,B3@20Mhz earfcn: 1344 phy-cellid: 66,B7@20Mhz earfcn: 3248 phy-cellid: 171,0,PASS_CONCURRENT_OTHER_LTE,/home/madis/projects/ltap-lte-testbench/results-public/exp2b-stationary-20260814/runs/20260814-081422_B_lte2_6M_r2_retry1_lte2_udp_upload
B_restart1_lte1_6M_r1,lte1,120,6M,4.731941787916875,21.021333333333335,4.0079551440754715,102.908,134.0,316.93,46.5465,B1@15Mhz earfcn: 523 phy-cellid: 69|B3@15Mhz earfcn: 1875 phy-cellid: 69,,0,PASS_CONCURRENT_OTHER_LTE,/home/madis/projects/ltap-lte-testbench/results-public/exp2b-stationary-20260814/runs/20260814-082420_B_restart1_lte1_6M_r1_lte1_udp_upload
B_restart1_lte1_6M_r2,lte1,120,6M,4.7769380724424275,20.284,2.1828270285682683,108.659,149.0,235.683,33.4828,B1@15Mhz earfcn: 523 phy-cellid: 69,,0,PASS_CONCURRENT_OTHER_LTE,/home/madis/projects/ltap-lte-testbench/results-public/exp2b-stationary-20260814/runs/20260814-082715_B_restart1_lte1_6M_r2_lte1_udp_upload
B_restart1_lte1_6M_r3,lte1,120,6M,,,,4153.339,7159.0,8117.635,60.9309,B1@15Mhz earfcn: 523 phy-cellid: 69|B38@20Mhz earfcn: 38098 phy-cellid: 3,B38@20Mhz earfcn: 37900 phy-cellid: 3,1,PASS_CONCURRENT_OTHER_LTE,/home/madis/projects/ltap-lte-testbench/results-public/exp2b-stationary-20260814/runs/20260814-083011_B_restart1_lte1_6M_r3_lte1_udp_upload
C_lte1_6M_r1,lte1,120,6M,4.830234926166332,19.457333333333334,1.8536175021162322,35.978,67.8,247.849,26.2687,B1@15Mhz earfcn: 523 phy-cellid: 69|B3@15Mhz earfcn: 1875 phy-cellid: 69|B7@20Mhz earfcn: 2850 phy-cellid: 69,,0,PASS_CONCURRENT_OTHER_LTE,/home/madis/projects/ltap-lte-testbench/results-public/exp2b-stationary-20260814/runs/20260814-085148_C_lte1_6M_r1_lte1_udp_upload
C_lte1_6M_r2,lte1,120,6M,4.788496653301485,20.153333333333332,1.627027766292007,37.874,68.3,257.619,36.5817,B3@15Mhz earfcn: 1875 phy-cellid: 69|B7@20Mhz earfcn: 2850 phy-cellid: 69,,0,PASS_CONCURRENT_OTHER_LTE,/home/madis/projects/ltap-lte-testbench/results-public/exp2b-stationary-20260814/runs/20260814-085442_C_lte1_6M_r2_lte1_udp_upload
C_lte1_6M_r3,lte1,120,6M,4.830105077584228,19.458666666666666,1.896905584834985,34.983,58.9,243.11,24.3284,B7@20Mhz earfcn: 2850 phy-cellid: 69,,0,PASS_CONCURRENT_OTHER_LTE,/home/madis/projects/ltap-lte-testbench/results-public/exp2b-stationary-20260814/runs/20260814-085736_C_lte1_6M_r3_lte1_udp_upload
C_lte2_6M_r1,lte2,120,6M,4.830222713915423,19.453333333333333,2.228816270506945,33.624,45.2,242.192,38.9805,B3@20Mhz earfcn: 1344 phy-cellid: 66,B7@20Mhz earfcn: 3050 phy-cellid: 156,0,PASS_CONCURRENT_OTHER_LTE,/home/madis/projects/ltap-lte-testbench/results-public/exp2b-stationary-20260814/runs/20260814-090031_C_lte2_6M_r1_lte2_udp_upload
C_lte2_6M_r2,lte2,120,6M,4.830509255946565,19.446666666666665,2.404142608959249,33.759,40.8,240.733,29.148,B3@20Mhz earfcn: 1344 phy-cellid: 66|B7@20Mhz earfcn: 3248 phy-cellid: 171,B3@20Mhz earfcn: 1344 phy-cellid: 66|B7@20Mhz earfcn: 3248 phy-cellid: 171,1,PASS_CONCURRENT_OTHER_LTE,/home/madis/projects/ltap-lte-testbench/results-public/exp2b-stationary-20260814/runs/20260814-090325_C_lte2_6M_r2_lte2_udp_upload
