item_id,state,attempts,lte1_band,lte2_band,dual_status,registration,lte1_mbps,lte1_loss_percent,lte1_jitter_ms,lte1_ping_avg_ms,lte1_ping_p95_ms,lte1_ping_max_ms,lte1_ping_loss_percent,lte1_rssi_median,lte1_rsrp_median,lte1_rsrq_median,lte1_sinr_median,lte1_cqi_median,lte1_ri_median,lte1_cell_changes,lte1_tx-queue-drop_delta,lte2_mbps,lte2_loss_percent,lte2_jitter_ms,lte2_ping_avg_ms,lte2_ping_p95_ms,lte2_ping_max_ms,lte2_ping_loss_percent,lte2_rssi_median,lte2_rsrp_median,lte2_rsrq_median,lte2_sinr_median,lte2_cqi_median,lte2_ri_median,lte2_cell_changes,lte2_tx-queue-drop_delta
F1,PENDING,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2,PENDING,0,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F3,PENDING,0,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3-1,PENDING,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3-2,PENDING,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3-3,PENDING,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L8-1,PENDING,0,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L8-2,PENDING,0,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L8-3,PENDING,0,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAIR-4M,PENDING,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAIR-6M,PENDING,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAIR-8M,PENDING,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAIR-10M,PENDING,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAIR-12M,PENDING,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
