item_id,phase,state,attempts,band,dual_status,registration,lte1_operator,lte1_sim_id,lte1_modem,lte1_modem_model,lte1_mbps,lte1_loss_percent,lte1_ping_p95_ms,lte1_rsrp_median,lte1_rsrq_median,lte1_sinr_median,lte2_operator,lte2_sim_id,lte2_modem,lte2_modem_model,lte2_mbps,lte2_loss_percent,lte2_ping_p95_ms,lte2_rsrp_median,lte2_rsrq_median,lte2_sinr_median
A-B3,A,COMPLETE,1,3,PASS_DUAL,REGISTERED,telia,SIM-b536bd05e0,LTE7-A,R11l-LTE7,5.9987804949051355,0,32.5,-90.0,-11.5,4.0,elisa,SIM-0464aca4a8,LTE7-B,R11l-LTE7,5.982273415286074,0.2789333333333333,35.5,-96.0,-11.0,5.0
A-B7,A,COMPLETE,1,7,PASS_DUAL,REGISTERED,telia,SIM-b536bd05e0,LTE7-A,R11l-LTE7,5.998572612038987,0,34.8,-101.0,-9.5,11.0,elisa,SIM-0464aca4a8,LTE7-B,R11l-LTE7,5.076445317640107,14.275733333333333,2309.0,-106.0,-11.0,4.0
A-B7-CONFIRM,A,SKIPPED_NOT_AVAILABLE,0,7,,BAND_NOT_AVAILABLE,,,LTE7-A,R11l-LTE7,,,,,,,,,LTE7-B,R11l-LTE7,,,,,,
A-B20,A,COMPLETE,2,20,PASS_DUAL,REGISTERED,telia,SIM-b536bd05e0,LTE7-A,R11l-LTE7,5.998781034691455,0,32.8,-82.0,-11.0,12.0,elisa,SIM-0464aca4a8,LTE7-B,R11l-LTE7,5.99746676176711,0.024,31.9,-80.0,-13.0,8.0
A-AUTO,A,COMPLETE,1,AUTO,PASS_DUAL,REGISTERED,telia,SIM-b536bd05e0,LTE7-A,R11l-LTE7,5.9986468652311205,0,31.7,-99.0,-10.5,10.0,elisa,SIM-0464aca4a8,LTE7-B,R11l-LTE7,5.853426176919042,2.421346247179985,46.6,-99.0,-11.5,4.0
B-B3,B,COMPLETE,1,3,PASS_DUAL,REGISTERED,elisa,SIM-0464aca4a8,LTE7-A,R11l-LTE7,5.73756334195892,4.3552,1745.0,-94.0,-12.0,0.0,telia,SIM-b536bd05e0,LTE7-B,R11l-LTE7,5.998641151570388,0,29.7,-91.0,-11.5,8.0
B-B7,B,COMPLETE,1,7,PASS_DUAL,REGISTERED,elisa,SIM-0464aca4a8,LTE7-A,R11l-LTE7,5.523394551576574,6.7856,1992.0,-105.0,-10.5,10.0,telia,SIM-b536bd05e0,LTE7-B,R11l-LTE7,5.99874538232104,0,29.7,-101.0,-11.0,5.0
B-B7-CONFIRM,B,FAILED_AFTER_RETRIES,2,7,FAIL_IPERF_OR_PATH,REGISTERED,elisa,SIM-0464aca4a8,LTE7-A,R11l-LTE7,5.969331632951036,0.3626666666666667,59.8,-107.0,-11.0,6.0,telia,SIM-b536bd05e0,LTE7-B,R11l-LTE7,,,32.8,-99.0,-10.0,8.0
B-B20,B,COMPLETE,1,20,PASS_DUAL,REGISTERED,elisa,SIM-0464aca4a8,LTE7-A,R11l-LTE7,5.997139174598567,0.0304,34.7,-84.0,-15.0,7.0,telia,SIM-b536bd05e0,LTE7-B,R11l-LTE7,5.99878354667646,0,35.0,-78.0,-11.5,10.0
B-AUTO,B,COMPLETE,1,AUTO,PASS_DUAL,REGISTERED,elisa,SIM-0464aca4a8,LTE7-A,R11l-LTE7,5.222530767990896,12.937066666666666,140.0,-89.0,-14.0,5.0,telia,SIM-b536bd05e0,LTE7-B,R11l-LTE7,5.998838404927398,0,30.7,-95.0,-10.0,11.0
