item_id,state,attempts,lte1_band,lte2_band,dual_status,lte1_mbps,lte1_loss_percent,lte1_ping_p95_ms,lte2_mbps,lte2_loss_percent,lte2_ping_p95_ms
R1-M0,COMPLETE,2,,,PASS_DUAL,5.030782318001849,15.9552,137.0,5.975234311451309,0.3877333333333333,35.7
R1-M1,COMPLETE,2,"1,3,7,8,20","1,3,7,8,20",PASS_DUAL,4.717263428255997,21.337066666666665,167.0,5.866503387421694,2.2026666666666666,46.9
R1-M2,COMPLETE,1,3,3,PASS_DUAL,4.865700765073609,18.885866666666665,120.0,5.993486589957873,0.08693333333333333,84.9
R1-M3,COMPLETE,1,3,7,PASS_DUAL,5.368038133364311,10.469866666666666,126.0,5.97194977955851,0.4298712519600209,377.0
R1-M4,COMPLETE,2,7,3,PASS_DUAL,5.854818132736108,2.4016,97.5,5.996174900419756,0.0496005290723101,32.1
R1-M5,FAILED_AFTER_RETRIES,3,38,3,FAIL_IPERF_OR_PATH,,,60.4,,,29.4
R1-M6,COMPLETE,1,3,38,PASS_DUAL,5.330618305369861,11.089066666666668,121.0,0.8060012923994841,86.0896,749.0
R2-M6,COMPLETE,3,3,38,PASS_DUAL,5.6813787685296155,5.294933333333334,128.0,0.692725089690809,87.9536,750.0
R2-M5,COMPLETE,2,38,3,PASS_DUAL,1.1654674779428218,80.0192,538.0,5.998291015449248,0.0112,40.2
R2-M4,COMPLETE,1,7,3,PASS_DUAL,5.723996633577656,4.480533333333334,96.8,5.958577986108035,0.6746666666666666,39.9
R2-M3,COMPLETE,1,3,7,PASS_DUAL,5.195169949722009,13.395733333333334,101.0,4.608642243366983,22.6864,758.0
R2-M2,COMPLETE,2,3,3,PASS_DUAL,4.991781672899092,16.7344,153.0,5.99422851700445,0.07893333333333333,36.6
R2-M1,FAILED_AFTER_RETRIES,3,"1,3,7,8,20","1,3,7,8,20",FAIL_IPERF_OR_PATH,,,104.0,5.96498699914146,0.5637333333333333,33.6
R2-M0,FAILED_AFTER_RETRIES,3,,,FAIL_IPERF_OR_PATH,,,95.7,5.97285549238055,0.4336,39.6
C1,PENDING,0,20,3,,,,,,,
C2,PENDING,0,3,20,,,,,,,
C3,PENDING,0,1,3,,,,,,,
C4,PENDING,0,3,1,,,,,,,
C5,PENDING,0,8,3,,,,,,,
C6,PENDING,0,3,8,,,,,,,
S1,PENDING,0,3,,,,,,,,
S2,PENDING,0,,3,,,,,,,
S3,PENDING,0,7,,,,,,,,
S4,PENDING,0,,7,,,,,,,
S5,PENDING,0,38,,,,,,,,
S6,PENDING,0,,38,,,,,,,
H-LTE1-4M,PENDING,0,3,3,,,,,,,
H-LTE1-6M,PENDING,0,3,3,,,,,,,
H-LTE1-8M,PENDING,0,3,3,,,,,,,
H-LTE1-10M,PENDING,0,3,3,,,,,,,
H-LTE1-12M,PENDING,0,3,3,,,,,,,
H-LTE2-4M,PENDING,0,3,3,,,,,,,
H-LTE2-6M,PENDING,0,3,3,,,,,,,
H-LTE2-8M,PENDING,0,3,3,,,,,,,
H-LTE2-10M,PENDING,0,3,3,,,,,,,
H-LTE2-12M,PENDING,0,3,3,,,,,,,
L1-R1,PENDING,0,3,7,,,,,,,
L1-R2,PENDING,0,3,7,,,,,,,
L1-R3,PENDING,0,3,7,,,,,,,
L2-R1,PENDING,0,3,3,,,,,,,
L2-R2,PENDING,0,3,3,,,,,,,
L2-R3,PENDING,0,3,3,,,,,,,
