item_id,state,attempts,lte1_band,lte2_band,dual_status,lte1_mbps,lte1_loss_percent,lte1_ping_p95_ms,lte2_mbps,lte2_loss_percent,lte2_ping_p95_ms
S1,COMPLETE,2,3,3,PASS_SINGLE,5.996901278674534,0.029866666666666666,32.7,,,
S2,COMPLETE,1,3,3,PASS_SINGLE,,,,5.37827827952689,10.340266666666666,137.0
C1,COMPLETE,3,3,3,PASS_DUAL,5.99702942677728,0.03866666666666667,33.9,5.5521908369327955,7.436533333333333,137.0
C2,PENDING,0,3,3,,,,,,,
C3,PENDING,0,3,3,,,,,,,
A1,PENDING,0,3,8,,,,,,,
A2,PENDING,0,3,8,,,,,,,
A3,PENDING,0,3,8,,,,,,,
B1,PENDING,0,3,7,,,,,,,
B2,PENDING,0,3,7,,,,,,,
B3,PENDING,0,3,7,,,,,,,
