item_id,phase,candidate,repeat,state,attempts,lte1_band,lte2_band,lte1_bitrate,lte2_bitrate,duration,dual_status,lte1_mbps,lte1_loss_percent,lte1_ping_p95_ms,lte2_mbps,lte2_loss_percent,lte2_ping_p95_ms
A1-P1,PHASE_A_REPEATABILITY,P1,1,SKIPPED_BAND_UNAVAILABLE,0,3,3,6M,6M,600,,,,,,,
A1-P2,PHASE_A_REPEATABILITY,P2,1,PENDING,0,3,20,6M,6M,600,,,,,,,
A1-P3,PHASE_A_REPEATABILITY,P3,1,PENDING,0,3,7,6M,6M,600,,,,,,,
A1-P4,PHASE_A_REPEATABILITY,P4,1,PENDING,0,"3,20","3,7,20",6M,6M,600,,,,,,,
A2-P4,PHASE_A_REPEATABILITY,P4,2,PENDING,0,"3,20","3,7,20",6M,6M,600,,,,,,,
A2-P3,PHASE_A_REPEATABILITY,P3,2,PENDING,0,3,7,6M,6M,600,,,,,,,
A2-P2,PHASE_A_REPEATABILITY,P2,2,PENDING,0,3,20,6M,6M,600,,,,,,,
A2-P1,PHASE_A_REPEATABILITY,P1,2,PENDING,0,3,3,6M,6M,600,,,,,,,
A3-P2,PHASE_A_REPEATABILITY,P2,3,PENDING,0,3,20,6M,6M,600,,,,,,,
A3-P4,PHASE_A_REPEATABILITY,P4,3,PENDING,0,"3,20","3,7,20",6M,6M,600,,,,,,,
A3-P1,PHASE_A_REPEATABILITY,P1,3,PENDING,0,3,3,6M,6M,600,,,,,,,
A3-P3,PHASE_A_REPEATABILITY,P3,3,PENDING,0,3,7,6M,6M,600,,,,,,,
B-P1,PHASE_B_ENDURANCE,P1,1,PENDING,0,3,3,6M,6M,1800,,,,,,,
B-P2,PHASE_B_ENDURANCE,P2,1,PENDING,0,3,20,6M,6M,1800,,,,,,,
C-P1-6_6,PHASE_C_HEADROOM,P1,1,PENDING,0,3,3,6M,6M,300,,,,,,,
C-P1-8_8,PHASE_C_HEADROOM,P1,2,PENDING,0,3,3,8M,8M,300,,,,,,,
C-P1-8_6,PHASE_C_HEADROOM,P1,3,PENDING,0,3,3,8M,6M,300,,,,,,,
C-P1-6_8,PHASE_C_HEADROOM,P1,4,PENDING,0,3,3,6M,8M,300,,,,,,,
C-P4-6_6,PHASE_C_HEADROOM,P4,1,PENDING,0,"3,20","3,7,20",6M,6M,300,,,,,,,
C-P4-8_8,PHASE_C_HEADROOM,P4,2,PENDING,0,"3,20","3,7,20",8M,8M,300,,,,,,,
C-P4-8_6,PHASE_C_HEADROOM,P4,3,PENDING,0,"3,20","3,7,20",8M,6M,300,,,,,,,
C-P4-6_8,PHASE_C_HEADROOM,P4,4,PENDING,0,"3,20","3,7,20",6M,8M,300,,,,,,,
D-P1,PHASE_D_BURST,P1,1,PENDING,0,3,3,6M,6M,675,,,,,,,
D-P4,PHASE_D_BURST,P4,1,PENDING,0,"3,20","3,7,20",6M,6M,675,,,,,,,
E-P4,PHASE_E_DYNAMIC_OBSERVATION,P4,1,PENDING,0,"3,20","3,7,20",6M,6M,3600,,,,,,,
F-P1-LTE1-1,PHASE_F_RECOVERY,P1,1,PENDING,0,3,3,6M,6M,60,,,,,,,
F-P1-LTE1-2,PHASE_F_RECOVERY,P1,2,PENDING,0,3,3,6M,6M,60,,,,,,,
F-P1-LTE2-1,PHASE_F_RECOVERY,P1,3,PENDING,0,3,3,6M,6M,60,,,,,,,
F-P1-LTE2-2,PHASE_F_RECOVERY,P1,4,PENDING,0,3,3,6M,6M,60,,,,,,,
